pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,229.705,229.552,WIN,0.06661,2026-03-27 09:04:24,level_breakout,56.3
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.87979,0.8795,WIN,0.03296,2026-03-27 09:04:24,ema_bounce,81
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.86113,1.86059,WIN,0.02901,2026-03-27 09:04:24,level_touch,61.9
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.85079,0.8514,WIN,0.0717,2026-03-27 09:04:24,ema_bounce,61.9
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.56948,0.56978,WIN,0.05268,2026-03-27 09:04:24,ema_bounce,62.8
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.494,99.215,LOSS,-0.28042,2026-03-27 09:04:24,ema_bounce,65.7
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.6331,0.63437,LOSS,-0.2006,2026-03-27 09:05:14,level_touch,57.1
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.803,119.894,LOSS,-0.07596,2026-03-27 09:05:14,ema_bounce,81
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78592,0.78566,WIN,0.03308,2026-03-27 09:05:14,level_touch,60.0
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.62188,0.62194,WIN,0.00965,2026-03-27 09:05:14,level_breakout,64.6
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,110.128,110.184,LOSS,-0.05085,2026-03-27 09:05:14,level_touch,60.0
EUR/JPY OTC,#EURJPY_otc,SELL,1m,187.188,187.197,LOSS,-0.00481,2026-03-27 09:06:04,level_touch,65.1
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71522,0.71513,LOSS,-0.01258,2026-03-27 09:06:04,level_bounce,63.4
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,217.045,217.129,LOSS,-0.0387,2026-03-27 09:07:44,ema_bounce,70.8
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.1485,1.14861,WIN,0.00958,2026-03-27 09:09:24,ema_bounce,60.7
EUR/JPY OTC,#EURJPY_otc,SELL,1m,187.182,187.189,LOSS,-0.00374,2026-03-27 09:09:24,level_touch,60.3
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85999,1.85989,WIN,0.00538,2026-03-27 09:09:24,ema_bounce,55.4
USD/JPY OTC,#USDJPY_otc,SELL,1m,158.265,158.253,WIN,0.00758,2026-03-27 09:09:24,level_touch,55.7
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.19149,1.19002,LOSS,-0.12337,2026-03-27 09:10:14,ema_bounce,83
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78505,0.78474,WIN,0.03949,2026-03-27 09:10:14,level_bounce,61.1
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.74421,1.74345,WIN,0.04357,2026-03-27 09:11:54,ema_bounce,64.6
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.49451,18.49548,WIN,0.00524,2026-03-27 09:11:54,level_touch,64.4
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.62224,0.62316,WIN,0.14785,2026-03-27 09:11:54,ema_bounce,67.6
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,217.079,217.036,WIN,0.01981,2026-03-27 09:11:54,ema_bounce,76
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.88106,0.88152,LOSS,-0.05221,2026-03-27 09:13:34,level_touch,60.0
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78481,0.78564,LOSS,-0.10576,2026-03-27 09:13:34,level_breakout,55.5
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,99.436,99.411,WIN,0.02514,2026-03-27 09:13:34,level_bounce,57.2
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.19203,1.19242,WIN,0.03272,2026-03-27 09:14:24,ema_bounce,67.6
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.822,119.76,WIN,0.05174,2026-03-27 09:14:24,ema_bounce,58.1
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.4201,1.42012,LOSS,-0.00141,2026-03-27 09:14:24,ema_bounce,78
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.74236,1.74044,WIN,0.1102,2026-03-27 09:15:14,level_breakout,57.7
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.49736,18.49533,WIN,0.01097,2026-03-27 09:15:14,level_touch,55.7
