pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.87955,0.88208,LOSS,-0.28765,2026-03-28 11:00:10,level_breakout,61.9
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,104.186,104.183,LOSS,-0.00288,2026-03-28 11:00:10,ema_bounce,67.8
EUR/JPY OTC,#EURJPY_otc,BUY,2m,185.579,185.678,WIN,0.05335,2026-03-28 11:00:10,level_touch,69.5
GBP/JPY OTC,#GBPJPY_otc,SELL,2m,231.917,232.017,LOSS,-0.04312,2026-03-28 11:00:10,level_touch,69.5
BHD/CNY OTC,#BHDCNY_otc,BUY,2m,18.53679,18.53913,WIN,0.01262,2026-03-28 11:00:10,level_touch,64.9
CAD/JPY OTC,#CADJPY_otc,BUY,2m,116.821,116.728,LOSS,-0.07961,2026-03-28 11:00:10,level_touch,66.8
USD/JPY OTC,#USDJPY_otc,BUY,2m,159.994,160.003,WIN,0.00563,2026-03-28 11:00:10,level_touch,61.9
USD/CAD OTC,#USDCAD_otc,BUY,2m,1.43981,1.44019,WIN,0.02639,2026-03-28 11:00:10,level_touch,60.6
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.57227,0.57291,WIN,0.11184,2026-03-28 11:01:50,ema_bounce,60.9
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.3313,1.33181,WIN,0.03831,2026-03-28 11:01:50,ema_bounce,61.9
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60549,0.60597,WIN,0.07927,2026-03-28 11:01:50,ema_bounce,83
AUD/USD OTC,#AUDUSD_otc,BUY,2m,0.70967,0.70935,LOSS,-0.04509,2026-03-28 11:01:50,level_touch,68.0
AUD/NZD OTC,#AUDNZD_otc,SELL,2m,1.20685,1.20662,WIN,0.01906,2026-03-28 11:01:50,level_touch,66.4
CHF/JPY OTC,#CHFJPY_otc,BUY,2m,223.207,223.343,WIN,0.06093,2026-03-28 11:01:50,level_touch,59.8
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,104.222,104.284,WIN,0.05949,2026-03-28 11:03:30,ema_bounce,60.9
USD/JPY OTC,#USDJPY_otc,SELL,2m,160.0,159.978,WIN,0.01375,2026-03-28 11:03:30,level_touch,64.7
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.93079,0.93059,LOSS,-0.02149,2026-03-28 11:05:10,ema_bounce,63.8
USD/CAD OTC,#USDCAD_otc,SELL,2m,1.4402,1.44028,LOSS,-0.00555,2026-03-28 11:05:10,level_touch,67.7
USD/CHF OTC,#USDCHF_otc,BUY,2m,0.78892,0.78818,LOSS,-0.0938,2026-03-28 11:05:10,level_touch,57.2
EUR/GBP OTC,#EURGBP_otc,BUY,2m,0.86011,0.86027,WIN,0.0186,2026-03-28 11:05:10,level_touch,65.1
AUD/JPY OTC,#AUDJPY_otc,BUY,2m,111.426,111.379,LOSS,-0.04218,2026-03-28 11:05:10,level_touch,64.7
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.52946,0.5289,WIN,0.10577,2026-03-28 11:06:00,level_breakout,56.6
EUR/JPY OTC,#EURJPY_otc,BUY,2m,185.583,185.632,WIN,0.0264,2026-03-28 11:06:00,level_touch,63.1
GBP/JPY OTC,#GBPJPY_otc,SELL,2m,231.724,231.754,LOSS,-0.01295,2026-03-28 11:06:00,level_touch,64.7
CHF/JPY OTC,#CHFJPY_otc,BUY,2m,223.307,223.394,WIN,0.03896,2026-03-28 11:06:00,level_touch,66.5
USD/JPY OTC,#USDJPY_otc,SELL,2m,159.978,159.922,WIN,0.035,2026-03-28 11:06:50,level_touch,69.5
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88148,0.88056,LOSS,-0.10437,2026-03-28 11:07:40,ema_bounce,76
GBP/AUD OTC,#GBPAUD_otc,BUY,2m,1.80343,1.80332,LOSS,-0.0061,2026-03-28 11:07:40,level_touch,66.0
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.9315,0.93008,LOSS,-0.15244,2026-03-28 11:08:30,level_breakout,56.7
USD/CAD OTC,#USDCAD_otc,BUY,2m,1.44028,1.44065,WIN,0.02569,2026-03-28 11:08:30,level_touch,64.1
EUR/GBP OTC,#EURGBP_otc,BUY,2m,0.86027,0.85995,LOSS,-0.0372,2026-03-28 11:08:30,level_touch,64.7
AUD/JPY OTC,#AUDJPY_otc,BUY,2m,111.379,111.244,LOSS,-0.12121,2026-03-28 11:08:30,level_touch,64.7
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,104.263,104.276,WIN,0.01247,2026-03-28 11:09:20,ema_bounce,72.6
EUR/JPY OTC,#EURJPY_otc,BUY,2m,185.593,185.583,LOSS,-0.00539,2026-03-28 11:09:20,level_touch,71.2
GBP/JPY OTC,#GBPJPY_otc,BUY,2m,231.751,232.068,WIN,0.13678,2026-03-28 11:09:20,level_touch,62.3
AUD/NZD OTC,#AUDNZD_otc,BUY,2m,1.20766,1.20675,LOSS,-0.07535,2026-03-28 11:09:20,level_touch,60.3
CAD/CHF OTC,#CADCHF_otc,SELL,2m,0.56979,0.56952,WIN,0.04739,2026-03-28 11:09:20,level_touch,64.7
BHD/CNY OTC,#BHDCNY_otc,BUY,2m,18.53751,18.53311,LOSS,-0.02374,2026-03-28 11:09:20,level_touch,66.0
GBP/USD OTC,#GBPUSD_otc,BUY,2m,1.33036,1.33049,WIN,0.00977,2026-03-28 11:09:20,level_touch,64.4
USD/CHF OTC,#USDCHF_otc,BUY,2m,0.7892,0.78946,WIN,0.03294,2026-03-28 11:09:20,level_touch,63.4
CHF/JPY OTC,#CHFJPY_otc,BUY,2m,223.274,223.082,LOSS,-0.08599,2026-03-28 11:09:20,level_touch,65.7
