pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.84566,0.8456,WIN,0.0071,2026-03-29 10:15:13,level_touch,64.7,BEAR
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.71455,0.71507,LOSS,-0.07277,2026-03-29 10:16:03,level_touch,61.1,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.75938,1.76159,LOSS,-0.12561,2026-03-29 10:16:03,level_touch,66.8,BEAR
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.20315,1.20319,WIN,0.00332,2026-03-29 10:17:43,level_touch,69.5,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,SELL,1m,116.503,116.631,LOSS,-0.10987,2026-03-29 10:17:43,ema_bounce,69.7,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88567,0.88648,WIN,0.09146,2026-03-29 10:17:43,level_touch,65.0,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.77179,1.77204,WIN,0.01411,2026-03-29 10:17:43,ema_bounce,64.9,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60438,0.60478,LOSS,-0.06618,2026-03-29 10:17:43,level_breakout,59.5,NEUTRAL
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,102.777,102.725,LOSS,-0.05059,2026-03-29 10:17:43,level_breakout,55.9,NEUTRAL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.16053,1.16063,WIN,0.00862,2026-03-29 10:18:33,level_touch,67.0,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,161.864,161.822,LOSS,-0.02595,2026-03-29 10:18:33,level_touch,60.3,NEUTRAL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.7908,0.79039,LOSS,-0.05185,2026-03-29 10:18:33,level_touch,64.2,NEUTRAL
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,244.225,244.116,LOSS,-0.04463,2026-03-29 10:20:13,level_breakout,57.0,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.84718,0.84771,WIN,0.06256,2026-03-29 10:20:13,level_touch,61.9,BULL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.76112,1.75987,WIN,0.07098,2026-03-29 10:21:03,ema_bounce,67.6,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.33926,1.33948,LOSS,-0.01643,2026-03-29 10:21:03,level_touch,66.8,BEAR
USD/JPY OTC,#USDJPY_otc,SELL,1m,161.838,161.829,WIN,0.00556,2026-03-29 10:21:53,level_touch,69.5,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.79003,0.79031,LOSS,-0.03544,2026-03-29 10:21:53,ema_bounce,67.6,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.1606,1.16048,WIN,0.01034,2026-03-29 10:22:43,ema_bounce,91,BEAR
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,108.785,108.88,LOSS,-0.08733,2026-03-29 10:22:43,level_breakout,55.9,BEAR
