pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15721,1.15721,DRAW,0.0,2026-03-28 18:35:51,level_touch,65.6
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.70961,0.70975,WIN,0.01973,2026-03-28 18:35:51,ema_bounce,70.6
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.20251,1.20143,LOSS,-0.08981,2026-03-28 18:35:51,level_breakout,55.2
CAD/JPY OTC,#CADJPY_otc,BUY,1m,115.045,115.011,LOSS,-0.02955,2026-03-28 18:35:51,level_touch,57.2
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.79703,1.79844,WIN,0.07846,2026-03-28 18:35:51,level_breakout,58.0
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43657,1.43633,LOSS,-0.01671,2026-03-28 18:35:51,level_touch,63.1
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,111.451,111.497,WIN,0.04127,2026-03-28 18:35:51,level_touch,69.5
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,223.298,223.305,LOSS,-0.00313,2026-03-28 18:35:51,ema_bounce,88
EUR/JPY OTC,#EURJPY_otc,SELL,1m,185.175,185.211,LOSS,-0.01944,2026-03-28 18:37:31,level_touch,61.1
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,102.242,102.257,LOSS,-0.01467,2026-03-28 18:37:31,ema_bounce,56.3
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15723,1.15712,WIN,0.00951,2026-03-28 18:39:11,level_touch,63.4
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.93054,0.93094,WIN,0.04299,2026-03-28 18:39:11,level_touch,61.9
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.20378,1.20345,LOSS,-0.02741,2026-03-28 18:39:11,ema_bounce,91
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43668,1.43649,WIN,0.01322,2026-03-28 18:39:11,level_touch,66.4
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,111.424,111.489,WIN,0.05834,2026-03-28 18:39:11,level_touch,69.5
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.70985,0.70922,LOSS,-0.08875,2026-03-28 18:40:01,ema_bounce,75
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.58527,0.58596,WIN,0.11789,2026-03-28 18:40:01,level_touch,61.9
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33216,1.33205,LOSS,-0.00826,2026-03-28 18:40:01,level_touch,66.0
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86941,0.86899,LOSS,-0.04831,2026-03-28 18:40:01,ema_bounce,72.6
EUR/JPY OTC,#EURJPY_otc,SELL,1m,185.195,185.215,LOSS,-0.0108,2026-03-28 18:40:51,level_touch,63.1
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,102.304,102.464,WIN,0.1564,2026-03-28 18:40:51,level_touch,61.9
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.51785,18.51925,WIN,0.00756,2026-03-28 18:41:41,level_touch,63.1
CAD/JPY OTC,#CADJPY_otc,SELL,1m,115.03,114.903,WIN,0.11041,2026-03-28 18:41:41,level_touch,64.4
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.87965,0.87876,LOSS,-0.10118,2026-03-28 18:41:41,ema_bounce,88
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15641,1.15659,LOSS,-0.01557,2026-03-28 18:42:31,level_touch,59.8
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43649,1.43731,WIN,0.05708,2026-03-28 18:42:31,level_touch,62.2
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.7096,0.70969,WIN,0.01268,2026-03-28 18:43:21,ema_bounce,70.4
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.92995,0.93034,WIN,0.04194,2026-03-28 18:43:21,level_touch,61.9
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.20543,1.20614,WIN,0.0589,2026-03-28 18:43:21,ema_bounce,59.7
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78337,0.78309,WIN,0.03574,2026-03-28 18:43:21,ema_bounce,70.6
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.59801,0.59838,LOSS,-0.06187,2026-03-28 18:43:21,ema_bounce,61.1
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,111.304,111.235,WIN,0.06199,2026-03-28 18:43:21,level_touch,66.0
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,223.776,223.778,WIN,0.00089,2026-03-28 18:43:21,level_touch,61.9
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0002246,0.0002227,LOSS,-0.84595,2026-03-28 18:44:11,ema_bounce,71.7
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33151,1.33126,LOSS,-0.01878,2026-03-28 18:44:11,level_touch,69.5
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.52019,18.52077,WIN,0.00313,2026-03-28 18:45:01,level_touch,61.9
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.79769,1.79867,WIN,0.05451,2026-03-28 18:45:51,ema_bounce,61.1
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43684,1.43665,WIN,0.01322,2026-03-28 18:45:51,level_touch,62.3
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15661,1.15694,LOSS,-0.02853,2026-03-28 18:46:41,level_touch,71.7
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,231.503,231.728,LOSS,-0.09719,2026-03-28 18:46:41,ema_bounce,80
