id,outcome_id,timestamp_signal,pair,symbol,direction,expiry,entry_price,pattern_winner,final_score,raw_pattern_score,direction_gap,regime,countertrend,n_bars_15s,n_bars_1m,n_bars_5m,score_gap,filter_penalty,nearest_support,dist_to_support_pct,nearest_resistance,dist_to_resistance_pct,level_count_sup,level_count_res,impulse_len,pullback_len,retracement_pct,confirm_ratio,lr_level_price,lr_touches,lr_fresh,lr_wick_ratio,lr_room_pct,fb_level_price,fb_side,fb_reclaim_type,fb_bars_ago,no_room_decision,opposite_level_class,dead_market,exhaustion,noisy,range_penalty,close_price,result,pnl_pct,resolved_at,source
963,,2026-03-25T18:11:15.873933,AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.80871,ema_bounce,,,,TRENDING_DOWN,0,,,,,,1.80764,0.0592,1.815095,0.353,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.80944,LOSS,-0.04036,2026-03-25T18:12:55.909083,paper
962,,2026-03-25T18:10:25.837743,EUR/USD OTC,#EURUSD_otc,SELL,1m,1.13835,ema_bounce,,,,TRENDING_DOWN,0,,,,,,1.13701,0.1177,1.13872,0.0325,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.13877,LOSS,-0.0369,2026-03-25T18:12:05.978241,paper
961,,2026-03-25T18:09:35.829373,USD/CHF OTC,#USDCHF_otc,SELL,1m,0.77656,level_bounce,,,,RANGE,0,,,,,,0.775567,0.1279,0.776782,0.0286,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.77616,WIN,0.05151,2026-03-25T18:11:15.873165,paper
960,,2026-03-25T18:09:35.827374,AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.16946,level_bounce,,,,RANGE,0,,,,,,1.16265,0.5823,1.170738,0.1093,2,2,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.17014,WIN,0.05815,2026-03-25T18:11:15.872946,paper
959,,2026-03-25T18:08:45.957337,CAD/JPY OTC,#CADJPY_otc,SELL,1m,120.326,ema_bounce,,,,RANGE,0,,,,,,120.158095,0.1395,120.30725,0.0,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,120.351,LOSS,-0.02078,2026-03-25T18:10:25.835740,paper
958,,2026-03-25T18:08:45.958794,USD/JPY OTC,#USDJPY_otc,BUY,1m,156.522,ema_bounce,,,,RANGE,0,,,,,,156.552789,0.0,156.615421,0.0597,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,156.476,LOSS,-0.02939,2026-03-25T18:10:25.835938,paper
957,,2026-03-25T18:08:45.956408,CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.57316,ema_bounce,,,,RANGE,0,,,,,,0.572808,0.0615,0.574052,0.1556,2,2,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.5721,WIN,0.18494,2026-03-25T18:10:25.835559,paper
956,,2026-03-25T18:08:45.960340,EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.87443,level_breakout,,,,TRENDING_DOWN,0,,,,,,0.87413,0.0343,0.877762,0.381,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.87451,LOSS,-0.00915,2026-03-25T18:10:25.836446,paper
955,,2026-03-25T18:08:45.959110,USD/CAD OTC,#USDCAD_otc,SELL,1m,1.39499,ema_bounce,,,,TRENDING_DOWN,0,,,,,,1.39463,0.0258,1.398001,0.2158,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,1.39527,LOSS,-0.02007,2026-03-25T18:10:25.836134,paper
954,,2026-03-25T18:08:45.961246,CHF/JPY OTC,#CHFJPY_otc,SELL,1m,210.685,level_bounce,,,,RANGE,0,,,,,,210.66981,0.0072,211.40025,0.3395,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,210.639,WIN,0.02183,2026-03-25T18:10:25.837340,paper
953,,2026-03-25T18:08:45.955690,AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95256,ema_bounce,,,,RANGE,0,,,,,,0.949297,0.3425,0.954546,0.2085,1,2,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.95269,LOSS,-0.01365,2026-03-25T18:10:25.835234,paper
952,,2026-03-25T18:08:45.955286,AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.69996,level_bounce,,,,RANGE,0,,,,,,0.699065,0.1279,0.700044,0.012,1,1,,,,,,,,,,,,,,n/a,n/a,0,0,0,0,0.70007,WIN,0.01572,2026-03-25T18:10:25.835095,paper
