pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.109,186.108,WIN,0.00054,2026-03-27 14:26:40,ema_bounce,61.9
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.17067,1.16894,WIN,0.14778,2026-03-27 14:26:40,ema_bounce,60.0
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.50794,18.50565,WIN,0.01237,2026-03-27 14:26:40,level_touch,61.1
KES/USD OTC,#KESUSD_otc,SELL,1m,0.002049,0.002039,WIN,0.48804,2026-03-27 14:26:40,ema_bounce,86
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.84464,1.84414,WIN,0.02711,2026-03-27 14:26:40,ema_bounce,58.1
USD/JPY OTC,#USDJPY_otc,BUY,1m,157.597,157.574,LOSS,-0.01459,2026-03-27 14:26:40,level_touch,63.0
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.466,99.484,WIN,0.0181,2026-03-27 14:26:40,level_touch,62.9
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15318,1.15345,WIN,0.02341,2026-03-27 14:28:20,level_touch,62.3
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.96319,0.96393,LOSS,-0.07683,2026-03-27 14:28:20,ema_bounce,76
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.33191,1.33184,WIN,0.00526,2026-03-27 14:28:20,level_breakout,57.0
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78974,0.78914,LOSS,-0.07597,2026-03-27 14:28:20,level_breakout,56.3
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.61254,0.61285,LOSS,-0.05061,2026-03-27 14:28:20,level_breakout,55.5
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,220.082,220.163,WIN,0.0368,2026-03-27 14:28:20,level_bounce,55.2
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.086,186.084,WIN,0.00107,2026-03-27 14:30:00,level_breakout,57.0
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.5078,18.50733,WIN,0.00254,2026-03-27 14:30:00,level_touch,69.5
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.87008,0.87033,WIN,0.02873,2026-03-27 14:30:00,level_touch,62.2
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.643,109.657,WIN,0.01277,2026-03-27 14:30:00,level_touch,66.0
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,232.879,232.795,WIN,0.03607,2026-03-27 14:30:50,ema_bounce,55.6
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.54545,0.54638,LOSS,-0.1705,2026-03-27 14:30:50,ema_bounce,69.9
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.429,99.543,WIN,0.11465,2026-03-27 14:30:50,level_touch,64.7
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15341,1.15297,WIN,0.03815,2026-03-27 14:31:40,level_touch,60.3
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.96312,0.96418,LOSS,-0.11006,2026-03-27 14:31:40,ema_bounce,66.0
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.254,119.398,LOSS,-0.12075,2026-03-27 14:32:30,level_bounce,85
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78883,0.78827,LOSS,-0.07099,2026-03-27 14:32:30,level_touch,62.8
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.5073,18.50634,WIN,0.00519,2026-03-27 14:33:20,level_touch,69.5
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.87055,0.87103,LOSS,-0.05514,2026-03-27 14:33:20,level_bounce,57.1
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,109.552,109.621,LOSS,-0.06298,2026-03-27 14:33:20,level_touch,61.9
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.61324,0.61259,LOSS,-0.10599,2026-03-27 14:34:10,level_breakout,60.3
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.5456,0.54604,LOSS,-0.08065,2026-03-27 14:34:10,level_breakout,57.1
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71504,0.71521,WIN,0.02377,2026-03-27 14:35:00,level_touch,58.4
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.96364,0.96344,WIN,0.02075,2026-03-27 14:35:00,level_touch,63.1
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.84254,1.84315,LOSS,-0.03311,2026-03-27 14:35:00,ema_bounce,68.6
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.33053,1.33036,WIN,0.01278,2026-03-27 14:35:00,level_breakout,57.0
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.627,99.56,LOSS,-0.06725,2026-03-27 14:35:00,ema_bounce,57.1
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.7875,0.78738,WIN,0.01524,2026-03-27 14:35:50,level_touch,64.7
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.64501,0.64429,LOSS,-0.11163,2026-03-27 14:36:40,ema_bounce,79
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.50504,18.50593,LOSS,-0.00481,2026-03-27 14:36:40,level_touch,63.9
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.4237,1.42338,LOSS,-0.02248,2026-03-27 14:36:40,level_touch,69.8
USD/JPY OTC,#USDJPY_otc,BUY,1m,157.459,157.479,WIN,0.0127,2026-03-27 14:37:30,level_bounce,57.1
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.61337,0.61367,WIN,0.04891,2026-03-27 14:37:30,level_touch,61.9
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.597,109.61,WIN,0.01186,2026-03-27 14:37:30,level_bounce,55.4
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.5473,0.54784,LOSS,-0.09867,2026-03-27 14:37:30,level_bounce,66.6
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,220.429,220.545,WIN,0.05262,2026-03-27 14:37:30,level_touch,62.2
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.96264,0.96325,LOSS,-0.06337,2026-03-27 14:38:20,level_breakout,55.2
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.84309,1.84447,LOSS,-0.07487,2026-03-27 14:38:20,ema_bounce,84
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,232.701,232.873,LOSS,-0.07391,2026-03-27 14:39:10,level_breakout,55.6
CAD/JPY OTC,#CADJPY_otc,BUY,1m,119.381,119.181,LOSS,-0.16753,2026-03-27 14:39:10,ema_bounce,57.5
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.87505,0.87497,WIN,0.00914,2026-03-27 14:39:10,ema_bounce,83
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.619,99.644,WIN,0.0251,2026-03-27 14:39:10,ema_bounce,58.0
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.50323,18.50455,LOSS,-0.00713,2026-03-27 14:40:00,level_touch,64.7
KES/USD OTC,#KESUSD_otc,SELL,1m,0.002129,0.002148,LOSS,-0.89244,2026-03-27 14:40:00,level_bounce,57.1
