pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15014,1.15078,LOSS,-0.05565,2026-03-27 11:46:07,level_touch,67.0
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71207,0.7119,LOSS,-0.02387,2026-03-27 11:46:07,level_touch,66.0
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.9763,0.97676,LOSS,-0.04712,2026-03-27 11:46:07,ema_bounce,56.1
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.18973,1.19146,LOSS,-0.14541,2026-03-27 11:46:07,level_touch,60.3
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.64242,0.64278,WIN,0.05604,2026-03-27 11:46:07,ema_bounce,86
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.76616,1.76562,LOSS,-0.03057,2026-03-27 11:46:07,level_touch,64.7
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.48871,18.48868,WIN,0.00016,2026-03-27 11:46:07,level_touch,60.0
CAD/JPY OTC,#CADJPY_otc,BUY,1m,119.555,119.637,WIN,0.06859,2026-03-27 11:46:07,ema_bounce,67.1
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85839,1.85746,WIN,0.05004,2026-03-27 11:46:07,level_touch,62.2
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.42128,1.42152,LOSS,-0.01689,2026-03-27 11:46:07,level_touch,60.0
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,218.657,218.576,WIN,0.03704,2026-03-27 11:46:07,level_touch,67.9
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,230.665,230.936,LOSS,-0.11749,2026-03-27 11:46:57,level_touch,65.1
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.61505,0.61497,LOSS,-0.01301,2026-03-27 11:46:57,level_touch,61.9
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86971,0.86916,LOSS,-0.06324,2026-03-27 11:46:57,ema_bounce,58.9
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.55924,0.56078,WIN,0.27537,2026-03-27 11:46:57,level_touch,61.9
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0032,0.003262,LOSS,-1.9375,2026-03-27 11:48:37,ema_bounce,63.0
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.87382,0.87373,WIN,0.0103,2026-03-27 11:48:37,level_bounce,64.7
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,99.193,99.162,WIN,0.03125,2026-03-27 11:48:37,ema_bounce,61.9
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.1892,1.18904,WIN,0.01345,2026-03-27 11:49:27,level_bounce,75
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.49042,18.48924,WIN,0.00638,2026-03-27 11:49:27,level_touch,57.4
CAD/JPY OTC,#CADJPY_otc,BUY,1m,119.547,119.576,WIN,0.02426,2026-03-27 11:49:27,ema_bounce,63.8
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85835,1.85766,WIN,0.03713,2026-03-27 11:49:27,level_touch,61.9
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33244,1.33167,LOSS,-0.05779,2026-03-27 11:49:27,ema_bounce,55.6
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.42191,1.42179,WIN,0.00844,2026-03-27 11:49:27,level_bounce,56.4
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,218.833,218.75,WIN,0.03793,2026-03-27 11:49:27,level_touch,62.3
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,231.202,231.419,LOSS,-0.09386,2026-03-27 11:50:17,level_touch,60.0
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.61589,0.61657,LOSS,-0.11041,2026-03-27 11:50:17,level_touch,63.1
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.9755,0.97507,WIN,0.04408,2026-03-27 11:51:07,level_breakout,57.0
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.63911,0.63928,LOSS,-0.0266,2026-03-27 11:51:07,level_touch,61.9
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.561,0.56175,LOSS,-0.13369,2026-03-27 11:51:07,level_touch,65.1
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.87388,0.87466,WIN,0.08926,2026-03-27 11:51:57,level_touch,67.9
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.1883,1.18925,LOSS,-0.07995,2026-03-27 11:52:47,level_touch,61.9
KES/USD OTC,#KESUSD_otc,SELL,1m,0.003084,0.003113,LOSS,-0.94034,2026-03-27 11:52:47,ema_bounce,76
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85746,1.85591,WIN,0.08345,2026-03-27 11:52:47,level_touch,63.1
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33199,1.33209,WIN,0.00751,2026-03-27 11:52:47,level_touch,60.4
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.42129,1.42146,LOSS,-0.01196,2026-03-27 11:52:47,level_touch,65.6
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78383,0.78438,LOSS,-0.07017,2026-03-27 11:52:47,level_breakout,55.2
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.87037,0.87061,WIN,0.02757,2026-03-27 11:52:47,level_touch,65.1
EUR/JPY OTC,#EURJPY_otc,BUY,1m,186.964,186.946,LOSS,-0.00963,2026-03-27 11:53:37,ema_bounce,56.3
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.486,119.577,LOSS,-0.07616,2026-03-27 11:53:37,level_touch,61.9
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,109.918,109.916,WIN,0.00182,2026-03-27 11:53:37,level_touch,61.9
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.63808,0.63725,WIN,0.13008,2026-03-27 11:54:27,level_touch,60.0
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.56284,0.5605,WIN,0.41575,2026-03-27 11:54:27,level_touch,61.9
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,231.502,231.618,LOSS,-0.05011,2026-03-27 11:55:17,level_touch,61.9
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.76702,1.76666,LOSS,-0.02037,2026-03-27 11:55:17,level_touch,68.6
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.48872,18.48793,WIN,0.00427,2026-03-27 11:55:17,level_touch,57.1
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,99.266,99.263,WIN,0.00302,2026-03-27 11:55:17,level_touch,60.4
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,218.608,218.7,LOSS,-0.04208,2026-03-27 11:55:17,level_touch,58.8
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71187,0.71173,LOSS,-0.01967,2026-03-27 11:56:07,level_touch,65.1
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.18966,1.18906,WIN,0.05043,2026-03-27 11:56:07,level_touch,57.2
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.42185,1.42178,WIN,0.00492,2026-03-27 11:56:07,level_touch,59.2
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78447,0.78492,LOSS,-0.05736,2026-03-27 11:56:07,level_touch,63.1
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.61663,0.61645,LOSS,-0.02919,2026-03-27 11:56:07,ema_bounce,61.9
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.516,119.466,WIN,0.04184,2026-03-27 11:56:57,level_touch,61.6
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,109.976,110.08,LOSS,-0.09457,2026-03-27 11:56:57,level_touch,61.9
EUR/JPY OTC,#EURJPY_otc,BUY,1m,186.897,186.944,WIN,0.02515,2026-03-27 11:57:47,level_touch,59.8
USD/JPY OTC,#USDJPY_otc,SELL,1m,157.626,157.695,LOSS,-0.04377,2026-03-27 11:57:47,level_touch,65.1
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.56197,0.56104,LOSS,-0.16549,2026-03-27 11:57:47,level_touch,64.9
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.87524,0.87538,WIN,0.016,2026-03-27 11:58:37,level_touch,66.8
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85524,1.8572,LOSS,-0.10565,2026-03-27 11:58:37,level_touch,65.1
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,218.731,218.792,LOSS,-0.02789,2026-03-27 11:58:37,level_touch,66.8
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.7115,0.71161,WIN,0.01546,2026-03-27 11:59:27,level_touch,64.7
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.785,0.78453,LOSS,-0.05987,2026-03-27 11:59:27,level_touch,58.4
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.61686,0.61652,LOSS,-0.05512,2026-03-27 11:59:27,level_touch,58.9
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,231.551,231.531,LOSS,-0.00864,2026-03-27 12:00:17,ema_bounce,61.1
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.18859,1.18966,LOSS,-0.09002,2026-03-27 12:00:17,level_touch,57.2
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.76969,1.76874,LOSS,-0.05368,2026-03-27 12:00:17,level_breakout,55.2
CAD/JPY OTC,#CADJPY_otc,BUY,1m,119.438,119.395,LOSS,-0.036,2026-03-27 12:00:17,level_touch,63.1
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.11,99.006,LOSS,-0.10493,2026-03-27 12:00:17,level_touch,61.9
USD/JPY OTC,#USDJPY_otc,BUY,1m,157.683,157.773,WIN,0.05708,2026-03-27 12:01:07,level_touch,65.0
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15146,1.15167,WIN,0.01824,2026-03-27 12:01:57,level_touch,66.0
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.63832,0.63781,WIN,0.0799,2026-03-27 12:01:57,level_touch,64.9
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85592,1.85572,WIN,0.01078,2026-03-27 12:01:57,ema_bounce,81
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.3321,1.33248,WIN,0.02853,2026-03-27 12:01:57,level_touch,65.6
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.939,186.936,WIN,0.0016,2026-03-27 12:02:47,level_touch,57.2
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.71179,0.71203,LOSS,-0.03372,2026-03-27 12:02:47,level_touch,60.3
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78435,0.7848,LOSS,-0.05737,2026-03-27 12:02:47,level_touch,67.7
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,218.809,218.886,LOSS,-0.03519,2026-03-27 12:02:47,level_touch,64.1
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.18998,1.18988,LOSS,-0.0084,2026-03-27 12:03:37,level_touch,64.4
CAD/JPY OTC,#CADJPY_otc,SELL,1m,119.467,119.523,LOSS,-0.04687,2026-03-27 12:03:37,level_touch,60.0
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.87527,0.87424,LOSS,-0.11768,2026-03-27 12:04:27,level_touch,69.7
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.42245,1.42273,WIN,0.01968,2026-03-27 12:04:27,ema_bounce,78
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,110.143,110.121,LOSS,-0.01997,2026-03-27 12:04:27,ema_bounce,58.8
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.49334,18.4922,LOSS,-0.00616,2026-03-27 12:05:17,level_touch,60.7
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.85684,1.85647,WIN,0.01993,2026-03-27 12:05:17,level_touch,70.8
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86949,0.86997,WIN,0.0552,2026-03-27 12:05:17,level_bounce,61.9
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71216,0.71299,WIN,0.11655,2026-03-27 12:06:07,level_touch,58.5
EUR/JPY OTC,#EURJPY_otc,BUY,1m,187.013,186.975,LOSS,-0.02032,2026-03-27 12:06:57,level_touch,60.1
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,231.598,231.32,WIN,0.12004,2026-03-27 12:06:57,level_touch,66.6
