pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/JPY OTC,#EURJPY_otc,SELL,1m,185.296,185.269,WIN,0.01457,2026-03-31 10:01:22,level_touch,66.8,BEAR
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.59956,0.5995,WIN,0.01001,2026-03-31 10:01:22,ema_bounce,68.7,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0075985,0.0075993,LOSS,-0.01053,2026-03-31 10:01:22,level_breakout,56.1,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,122.202,122.279,LOSS,-0.06301,2026-03-31 10:01:22,level_touch,59.8,BEAR
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95587,0.95575,WIN,0.01255,2026-03-31 10:02:12,level_touch,64.7,BEAR
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.23518,1.23599,LOSS,-0.06558,2026-03-31 10:02:12,level_touch,64.7,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35637,1.358,LOSS,-0.12017,2026-03-31 10:03:52,level_touch,65.1,BEAR
USD/JPY OTC,#USDJPY_otc,SELL,1m,162.101,162.061,WIN,0.02468,2026-03-31 10:03:52,ema_bounce,67.6,BEAR
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.23632,1.2361,WIN,0.01779,2026-03-31 10:06:22,level_touch,64.7,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0075932,0.0075897,WIN,0.04609,2026-03-31 10:06:22,ema_bounce,86,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.42168,1.4211,WIN,0.0408,2026-03-31 10:07:12,ema_bounce,62.7,BEAR
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95516,0.95542,LOSS,-0.02722,2026-03-31 10:08:52,level_touch,62.8,BEAR
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.86414,0.86407,WIN,0.0081,2026-03-31 10:08:52,level_touch,64.4,BEAR
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.74869,0.74887,LOSS,-0.02404,2026-03-31 10:09:42,level_touch,69.5,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,122.242,122.184,WIN,0.04745,2026-03-31 10:09:42,level_touch,64.7,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35734,1.35723,WIN,0.0081,2026-03-31 10:09:42,level_touch,66.4,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.8292,0.82983,LOSS,-0.07598,2026-03-31 10:09:42,ema_bounce,83,BEAR
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.23638,1.23641,WIN,0.00243,2026-03-31 10:11:22,level_touch,62.2,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.35033,18.35128,WIN,0.00518,2026-03-31 10:11:22,level_touch,65.7,NEUTRAL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15985,1.15968,LOSS,-0.01466,2026-03-31 10:12:12,level_touch,63.1,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.345,185.273,LOSS,-0.03885,2026-03-31 10:12:12,level_touch,60.0,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.96678,1.9677,WIN,0.04678,2026-03-31 10:12:12,level_breakout,56.7,BULL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.42152,1.42125,LOSS,-0.01899,2026-03-31 10:12:12,level_touch,61.9,BULL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.5653,0.56532,WIN,0.00354,2026-03-31 10:12:12,level_touch,64.7,BULL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.74916,0.74841,LOSS,-0.10011,2026-03-31 10:13:02,ema_bounce,78,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.35712,1.35644,LOSS,-0.05011,2026-03-31 10:13:02,level_touch,61.9,BULL
