pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.18069,1.18125,LOSS,-0.04743,2026-03-27 18:14:37,level_touch,64.7
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.6421,0.64281,LOSS,-0.11057,2026-03-27 18:14:37,level_touch,63.1
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.53279,18.53149,LOSS,-0.00701,2026-03-27 18:14:37,level_touch,64.7
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88804,0.88921,WIN,0.13175,2026-03-27 18:14:37,level_touch,66.6
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.3313,1.33233,LOSS,-0.07737,2026-03-27 18:14:37,ema_bounce,64.0
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60876,0.60884,WIN,0.01314,2026-03-27 18:14:37,level_touch,60.3
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.8657,0.86611,LOSS,-0.04736,2026-03-27 18:14:37,level_touch,67.6
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,99.997,100.022,LOSS,-0.025,2026-03-27 18:14:37,level_touch,66.4
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,222.191,222.189,LOSS,-0.0009,2026-03-27 18:14:37,level_touch,65.7
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.311,184.297,WIN,0.0076,2026-03-27 18:15:27,ema_bounce,62.6
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,234.337,234.452,WIN,0.04907,2026-03-27 18:15:27,level_breakout,56.1
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.77575,1.775,WIN,0.04224,2026-03-27 18:16:17,ema_bounce,55.2
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.6429,0.64248,WIN,0.06533,2026-03-27 18:17:57,level_touch,69.5
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.88807,0.88761,WIN,0.0518,2026-03-27 18:17:57,level_touch,66.8
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.82964,1.83023,LOSS,-0.03225,2026-03-27 18:17:57,level_breakout,62.2
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60867,0.60908,WIN,0.06736,2026-03-27 18:17:57,level_touch,57.2
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.37,109.462,WIN,0.08412,2026-03-27 18:17:57,level_breakout,57.2
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15851,1.15906,WIN,0.04747,2026-03-27 18:19:37,level_touch,66.8
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.53161,18.53226,WIN,0.00351,2026-03-27 18:19:37,level_touch,59.8
