pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33233,1.332,LOSS,-0.02477,2026-03-27 18:19:37,level_touch,66.0
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86614,0.86654,LOSS,-0.04618,2026-03-27 18:19:37,level_touch,65.6
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.54457,0.54588,LOSS,-0.24056,2026-03-27 18:19:37,level_touch,64.7
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.986,100.185,WIN,0.19903,2026-03-27 18:19:37,level_touch,59.5
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,222.198,222.112,LOSS,-0.0387,2026-03-27 18:19:37,level_touch,69.7
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,234.347,234.408,WIN,0.02603,2026-03-27 18:20:27,ema_bounce,61.1
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.77428,1.77349,WIN,0.04453,2026-03-27 18:20:27,ema_bounce,60.9
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43149,1.43118,LOSS,-0.02166,2026-03-27 18:20:27,level_touch,66.0
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.17936,1.17863,WIN,0.0619,2026-03-27 18:22:07,ema_bounce,57.7
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.6429,0.64385,WIN,0.14777,2026-03-27 18:22:07,level_touch,61.6
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88946,0.88966,WIN,0.02249,2026-03-27 18:22:07,level_touch,62.3
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.83174,1.834,LOSS,-0.12338,2026-03-27 18:22:07,level_touch,63.4
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.5348,18.53624,WIN,0.00777,2026-03-27 18:22:57,level_touch,59.8
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33211,1.33234,WIN,0.01727,2026-03-27 18:22:57,level_touch,64.7
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86618,0.86618,DRAW,0.0,2026-03-27 18:22:57,level_touch,60.3
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.231,100.231,DRAW,0.0,2026-03-27 18:22:57,level_touch,69.5
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.313,184.249,WIN,0.03472,2026-03-27 18:23:47,level_touch,66.8
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,234.138,234.229,WIN,0.03887,2026-03-27 18:23:47,level_touch,59.8
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.71524,0.71588,LOSS,-0.08948,2026-03-27 18:23:47,level_touch,66.0
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95695,0.95699,LOSS,-0.00418,2026-03-27 18:23:47,ema_bounce,71.7
CAD/JPY OTC,#CADJPY_otc,SELL,1m,118.301,118.286,WIN,0.01268,2026-03-27 18:23:47,level_breakout,56.0
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43148,1.43184,WIN,0.02515,2026-03-27 18:23:47,ema_bounce,88
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.54502,0.5438,WIN,0.22384,2026-03-27 18:23:47,level_touch,64.7
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,221.771,221.719,WIN,0.02345,2026-03-27 18:23:47,level_touch,64.7
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.477,109.416,LOSS,-0.05572,2026-03-27 18:24:37,level_touch,65.7
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.88932,0.88856,WIN,0.08546,2026-03-27 18:25:27,level_touch,64.7
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15794,1.15778,LOSS,-0.01382,2026-03-27 18:26:17,level_touch,69.1
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.77453,1.77549,LOSS,-0.0541,2026-03-27 18:26:17,ema_bounce,78
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.53585,18.53719,WIN,0.00723,2026-03-27 18:26:17,level_touch,65.6
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.83212,1.83349,LOSS,-0.07478,2026-03-27 18:26:17,level_touch,64.7
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.3326,1.33306,WIN,0.03452,2026-03-27 18:26:17,ema_bounce,58.0
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.8663,0.86667,WIN,0.04271,2026-03-27 18:26:17,level_touch,62.9
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.216,100.246,WIN,0.02994,2026-03-27 18:26:17,level_touch,65.6
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.219,184.287,LOSS,-0.03691,2026-03-27 18:27:07,ema_bounce,57.1
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,233.996,234.001,WIN,0.00214,2026-03-27 18:27:07,level_touch,64.7
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.179,1.17975,LOSS,-0.06361,2026-03-27 18:27:07,ema_bounce,69.6
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.47,109.414,LOSS,-0.05116,2026-03-27 18:27:57,level_touch,66.0
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71701,0.71752,WIN,0.07113,2026-03-27 18:28:47,level_touch,61.9
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95628,0.95646,LOSS,-0.01882,2026-03-27 18:28:47,level_breakout,56.3
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88867,0.88912,WIN,0.05064,2026-03-27 18:28:47,level_touch,63.4
USD/JPY OTC,#USDJPY_otc,SELL,1m,158.301,158.288,WIN,0.00821,2026-03-27 18:28:47,ema_bounce,91
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43183,1.432,WIN,0.01187,2026-03-27 18:28:47,ema_bounce,65.6
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77956,1.78059,WIN,0.05788,2026-03-27 18:29:37,level_breakout,55.2
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.83446,1.83467,LOSS,-0.01145,2026-03-27 18:29:37,level_touch,64.7
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60959,0.60969,WIN,0.0164,2026-03-27 18:29:37,level_touch,65.1
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86703,0.86747,WIN,0.05075,2026-03-27 18:29:37,level_touch,67.6
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.219,100.299,WIN,0.07983,2026-03-27 18:29:37,level_touch,65.7
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.15779,1.15739,LOSS,-0.03455,2026-03-27 18:31:17,level_touch,64.7
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,233.976,234.054,LOSS,-0.03334,2026-03-27 18:31:17,level_touch,66.8
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.18169,1.18193,WIN,0.02031,2026-03-27 18:31:17,level_touch,62.3
CAD/JPY OTC,#CADJPY_otc,SELL,1m,118.155,118.184,LOSS,-0.02454,2026-03-27 18:31:17,ema_bounce,60.7
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,109.341,109.496,LOSS,-0.14176,2026-03-27 18:31:17,level_touch,66.0
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,221.713,221.815,LOSS,-0.04601,2026-03-27 18:31:17,ema_bounce,59.9
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71764,0.71713,LOSS,-0.07107,2026-03-27 18:32:07,level_touch,64.7
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88876,0.88769,LOSS,-0.12039,2026-03-27 18:32:07,level_touch,59.1
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95577,0.95594,LOSS,-0.01779,2026-03-27 18:32:57,ema_bounce,61.1
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.64549,0.64562,WIN,0.02014,2026-03-27 18:32:57,ema_bounce,67.9
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.53538,18.53489,LOSS,-0.00264,2026-03-27 18:32:57,level_touch,64.9
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.83637,1.83615,LOSS,-0.01198,2026-03-27 18:32:57,level_touch,66.8
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.5431,0.54283,WIN,0.04971,2026-03-27 18:32:57,ema_bounce,56.3
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.221,100.264,WIN,0.04291,2026-03-27 18:32:57,level_touch,66.0
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.352,184.355,LOSS,-0.00163,2026-03-27 18:33:47,level_touch,64.4
CAD/JPY OTC,#CADJPY_otc,SELL,1m,118.175,118.198,LOSS,-0.01946,2026-03-27 18:34:37,ema_bounce,57.9
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.496,109.497,WIN,0.00091,2026-03-27 18:34:37,level_touch,64.7
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71705,0.71697,LOSS,-0.01116,2026-03-27 18:35:27,level_touch,71.7
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.8884,0.88948,WIN,0.12157,2026-03-27 18:35:27,level_touch,66.6
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.33428,1.33487,WIN,0.04422,2026-03-27 18:35:27,ema_bounce,61.9
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86595,0.86644,LOSS,-0.05659,2026-03-27 18:35:27,level_touch,66.8
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,221.904,221.943,WIN,0.01758,2026-03-27 18:35:27,level_touch,62.3
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.53385,18.53397,WIN,0.00065,2026-03-27 18:36:17,level_touch,63.1
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.83542,1.83584,WIN,0.02288,2026-03-27 18:36:17,level_touch,66.0
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.29,100.104,LOSS,-0.18546,2026-03-27 18:36:17,ema_bounce,68.7
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.341,184.356,LOSS,-0.00814,2026-03-27 18:37:07,level_touch,63.1
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,233.819,233.645,WIN,0.07442,2026-03-27 18:37:07,ema_bounce,71.7
USD/JPY OTC,#USDJPY_otc,BUY,1m,158.372,158.35,LOSS,-0.01389,2026-03-27 18:37:07,level_touch,60.0
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.54189,0.54128,WIN,0.11257,2026-03-27 18:37:07,ema_bounce,86
CAD/JPY OTC,#CADJPY_otc,BUY,1m,118.265,118.373,WIN,0.09132,2026-03-27 18:37:57,level_touch,63.0
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60899,0.60947,WIN,0.07882,2026-03-27 18:37:57,level_touch,69.5
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.488,109.508,WIN,0.01827,2026-03-27 18:37:57,level_touch,69.5
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71748,0.71784,WIN,0.05018,2026-03-27 18:38:47,ema_bounce,85
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86605,0.86606,LOSS,-0.00115,2026-03-27 18:38:47,level_touch,66.0
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,221.791,221.895,LOSS,-0.04689,2026-03-27 18:38:47,level_touch,61.5
