id;outcome_id;timestamp_signal;pair;symbol;direction;expiry;entry_price;pattern_winner;final_score;raw_pattern_score;direction_gap;regime;countertrend;n_bars_15s;n_bars_1m;n_bars_5m;score_gap;filter_penalty;nearest_support;dist_to_support_pct;nearest_resistance;dist_to_resistance_pct;level_count_sup;level_count_res;impulse_len;pullback_len;retracement_pct;confirm_ratio;lr_level_price;lr_touches;lr_fresh;lr_wick_ratio;lr_room_pct;fb_level_price;fb_side;fb_reclaim_type;fb_bars_ago;no_room_decision;opposite_level_class;dead_market;exhaustion;noisy;range_penalty;close_price;result;pnl_pct;resolved_at;source
1049;;2026-03-25T20:10:31.297111;NZD/USD OTC;#NZDUSD_otc;SELL;1m;0.60006;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.59979;0.045;0.600968;0.1513;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.6001;LOSS;-0.00667;2026-03-25T20:12:11.254033;paper
1048;;2026-03-25T20:10:31.292511;EUR/JPY OTC;#EURJPY_otc;SELL;1m;184.726;level_bounce;;;;RANGE;0;;;;;;184.48135;0.1324;184.893;0.0904;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;184.619;WIN;0.05792;2026-03-25T20:12:11.253581;paper
1047;;2026-03-25T20:10:31.298270;CHF/JPY OTC;#CHFJPY_otc;BUY;1m;209.331;level_bounce;;;;RANGE;0;;;;;;209.294053;0.0177;209.506;0.0836;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;209.249;LOSS;-0.03917;2026-03-25T20:12:11.254503;paper
1046;;2026-03-25T20:10:31.297855;AUD/CHF OTC;#AUDCHF_otc;SELL;1m;0.5575;level_bounce;;;;RANGE;0;;;;;;0.554413;0.5537;0.55809;0.1058;1;4;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.55817;LOSS;-0.12018;2026-03-25T20:12:11.254338;paper
1045;;2026-03-25T20:08:51.212098;EUR/CHF OTC;#EURCHF_otc;BUY;1m;0.9295;ema_bounce;;;;RANGE;0;;;;;;0.927941;0.1677;0.929409;0.0;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.92844;LOSS;-0.11404;2026-03-25T20:10:31.291522;paper
1044;;2026-03-25T20:08:51.213732;NZD/JPY OTC;#NZDJPY_otc;BUY;1m;98.248;ema_bounce;;;;TRENDING_UP;0;;;;;;98.0716;0.1795;98.6688;0.4283;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;98.315;WIN;0.06819;2026-03-25T20:10:31.291742;paper
1043;;2026-03-25T20:08:01.256026;CAD/JPY OTC;#CADJPY_otc;BUY;1m;120.688;ema_bounce;;;;RANGE;0;;;;;;120.455476;0.1927;120.722;0.0282;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;120.566;LOSS;-0.10109;2026-03-25T20:09:41.198308;paper
1042;;2026-03-25T20:08:01.258472;EUR/GBP OTC;#EURGBP_otc;SELL;1m;0.87301;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.87226;0.0859;0.873063;0.006;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.87253;WIN;0.05498;2026-03-25T20:09:41.199268;paper
1041;;2026-03-25T20:07:11.334063;EUR/JPY OTC;#EURJPY_otc;BUY;1m;184.805;level_breakout;;;;TRENDING_UP;0;;;;;;184.439842;0.1976;184.855;0.0271;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;184.801;LOSS;-0.00216;2026-03-25T20:08:51.207968;paper
1040;;2026-03-25T20:07:11.341332;CHF/JPY OTC;#CHFJPY_otc;BUY;1m;209.358;ema_bounce;;;;TRENDING_UP;0;;;;;;209.286842;0.034;209.519895;0.0773;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;209.436;WIN;0.03726;2026-03-25T20:08:51.209393;paper
1039;;2026-03-25T20:07:11.337786;KES/USD OTC;#KESUSD_otc;SELL;1m;0.007848;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.007836;0.1529;0.007862;0.1784;7;4;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.007803;WIN;0.57339;2026-03-25T20:08:51.208603;paper
1038;;2026-03-25T20:07:11.337317;GBP/AUD OTC;#GBPAUD_otc;SELL;1m;1.92702;ema_bounce;;;;RANGE;0;;;;;;1.92662;0.0208;1.930868;0.1997;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.92651;WIN;0.02647;2026-03-25T20:08:51.208355;paper
1037;;2026-03-25T20:07:11.340588;AUD/CHF OTC;#AUDCHF_otc;SELL;1m;0.55554;level_bounce;;;;RANGE;0;;;;;;0.554413;0.2029;0.555975;0.0783;1;4;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.5573;LOSS;-0.31681;2026-03-25T20:08:51.209210;paper
1036;;2026-03-25T20:07:11.334789;AUD/USD OTC;#AUDUSD_otc;BUY;1m;0.70001;ema_bounce;;;;TRENDING_UP;0;;;;;;0.698579;0.2044;0.7004;0.0557;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.70003;WIN;0.00286;2026-03-25T20:08:51.208211;paper
1035;;2026-03-25T20:07:11.338521;USD/JPY OTC;#USDJPY_otc;SELL;1m;156.162;level_breakout;;;;TRENDING_DOWN;0;;;;;;156.162;0.0;156.528188;0.2345;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;156.175;LOSS;-0.00832;2026-03-25T20:08:51.208771;paper
1034;;2026-03-25T20:07:11.340051;AUD/JPY OTC;#AUDJPY_otc;BUY;1m;111.67;ema_bounce;;;;TRENDING_UP;0;;;;;;111.626;0.0394;111.728;0.0519;2;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;111.644;LOSS;-0.02328;2026-03-25T20:08:51.209018;paper
