pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.17078,1.17114,WIN,0.03075,2026-03-30 14:34:58,level_touch,69.5,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,122.185,122.183,LOSS,-0.00164,2026-03-30 14:34:58,level_touch,64.7,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.35779,1.35711,LOSS,-0.05008,2026-03-30 14:34:58,level_touch,64.7,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.83695,0.83802,WIN,0.12785,2026-03-30 14:34:58,level_touch,60.3,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.419,200.379,LOSS,-0.01996,2026-03-30 14:34:58,level_touch,62.0,BULL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71878,0.71893,WIN,0.02087,2026-03-30 14:35:48,level_touch,64.7,BULL
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77689,1.77752,WIN,0.03546,2026-03-30 14:35:48,level_touch,63.4,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,161.325,161.305,LOSS,-0.0124,2026-03-30 14:35:48,ema_bounce,69.5,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,122.057,122.129,WIN,0.05899,2026-03-30 14:38:18,level_touch,64.7,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.35657,1.35584,LOSS,-0.05381,2026-03-30 14:38:18,level_touch,64.9,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.35118,18.3498,LOSS,-0.00752,2026-03-30 14:39:58,level_touch,61.1,BULL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.93977,0.93968,LOSS,-0.00958,2026-03-30 14:39:58,level_touch,67.6,BULL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78624,0.78644,WIN,0.02544,2026-03-30 14:39:58,level_touch,62.3,BULL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.51484,0.51635,WIN,0.2933,2026-03-30 14:39:58,ema_bounce,86,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.96159,0.96225,WIN,0.06864,2026-03-30 14:40:48,level_touch,67.9,BULL
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.22911,1.23071,WIN,0.13018,2026-03-30 14:43:18,level_touch,65.1,BULL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.63574,0.63498,LOSS,-0.11955,2026-03-30 14:43:18,level_breakout,55.9,BULL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.9409,0.94209,WIN,0.12647,2026-03-30 14:43:18,ema_bounce,58.0,BULL
EUR/JPY OTC,#EURJPY_otc,SELL,1m,183.979,183.986,LOSS,-0.0038,2026-03-30 14:44:58,ema_bounce,88,BEAR
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.71775,0.71737,WIN,0.05294,2026-03-30 14:44:58,level_touch,63.9,BEAR
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.35125,18.35077,WIN,0.00262,2026-03-30 14:44:58,level_touch,61.5,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43787,1.43771,WIN,0.01113,2026-03-30 14:44:58,ema_bounce,71.7,BEAR
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,104.549,104.602,LOSS,-0.05069,2026-03-30 14:44:58,ema_bounce,72.7,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.007578,0.0075784,LOSS,-0.00528,2026-03-30 14:46:38,level_touch,64.7,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,121.969,121.908,WIN,0.05001,2026-03-30 14:46:38,ema_bounce,61.9,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35536,1.35561,LOSS,-0.01845,2026-03-30 14:46:38,ema_bounce,60.4,BEAR
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.96214,0.96186,WIN,0.0291,2026-03-30 14:48:18,level_touch,69.5,BEAR
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.35265,18.35246,WIN,0.00104,2026-03-30 14:48:18,level_touch,65.6,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43781,1.43754,WIN,0.01878,2026-03-30 14:48:18,ema_bounce,69.5,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.9701,1.96984,WIN,0.0132,2026-03-30 14:49:08,level_touch,61.1,BEAR
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.17188,1.17187,LOSS,-0.00085,2026-03-30 14:50:48,level_touch,64.9,NEUTRAL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075862,0.0075911,WIN,0.06459,2026-03-30 14:50:48,level_touch,71.4,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35501,1.35503,LOSS,-0.00148,2026-03-30 14:50:48,level_touch,66.0,NEUTRAL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,107.042,107.096,WIN,0.05045,2026-03-30 14:50:48,level_touch,62.8,NEUTRAL
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.83661,0.83664,LOSS,-0.00359,2026-03-30 14:51:38,ema_bounce,70.5,BEAR
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,200.19,200.352,LOSS,-0.08092,2026-03-30 14:51:38,level_touch,66.0,BEAR
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.9598,0.95946,WIN,0.03542,2026-03-30 14:53:18,level_touch,64.7,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.35189,18.35228,LOSS,-0.00213,2026-03-30 14:53:18,level_touch,64.7,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.96916,1.96959,WIN,0.02184,2026-03-30 14:53:18,level_touch,60.3,NEUTRAL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.78714,0.78591,LOSS,-0.15626,2026-03-30 14:53:18,level_touch,64.7,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.71842,0.71868,WIN,0.03619,2026-03-30 14:54:08,level_touch,69.9,BULL
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77722,1.77712,LOSS,-0.00563,2026-03-30 14:54:08,level_touch,64.7,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,161.268,161.274,WIN,0.00372,2026-03-30 14:54:08,level_touch,62.8,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.354,200.333,LOSS,-0.01048,2026-03-30 14:54:58,level_touch,61.9,BULL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.56559,0.56567,WIN,0.01414,2026-03-30 14:55:48,level_touch,66.6,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.17093,1.17108,WIN,0.01281,2026-03-30 14:56:38,level_touch,62.8,BULL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.63404,0.63484,WIN,0.12618,2026-03-30 14:58:18,ema_bounce,79,BULL
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77675,1.77722,WIN,0.02645,2026-03-30 14:58:18,level_touch,64.7,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,161.225,161.221,LOSS,-0.00248,2026-03-30 14:58:18,level_touch,61.5,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,107.046,107.031,LOSS,-0.01401,2026-03-30 14:58:18,level_touch,63.8,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,122.004,122.061,WIN,0.04672,2026-03-30 14:59:08,level_touch,62.3,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.96862,1.97024,WIN,0.08229,2026-03-30 14:59:08,level_touch,65.0,BULL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.5649,0.56535,WIN,0.07966,2026-03-30 14:59:08,level_touch,66.6,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.83672,0.8363,LOSS,-0.0502,2026-03-30 14:59:08,level_touch,58.4,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.17095,1.17117,WIN,0.01879,2026-03-30 15:00:48,level_touch,65.1,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.031,200.038,WIN,0.0035,2026-03-30 15:00:48,level_touch,61.9,BULL
EUR/JPY OTC,#EURJPY_otc,SELL,1m,183.719,183.73,LOSS,-0.00599,2026-03-30 15:01:38,level_touch,66.8,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.77647,1.77829,LOSS,-0.10245,2026-03-30 15:01:38,ema_bounce,61.9,BEAR
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.35014,18.34991,WIN,0.00125,2026-03-30 15:01:38,level_touch,59.8,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35521,1.35508,WIN,0.00959,2026-03-30 15:01:38,level_touch,65.1,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.96746,1.96699,WIN,0.02389,2026-03-30 15:03:18,level_breakout,62.2,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.83567,0.8349,WIN,0.09214,2026-03-30 15:03:18,ema_bounce,66.8,BEAR
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,0.95942,0.95928,WIN,0.01459,2026-03-30 15:04:08,ema_bounce,71.7,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,121.955,121.898,WIN,0.04674,2026-03-30 15:04:08,level_touch,61.5,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43621,1.43642,LOSS,-0.01462,2026-03-30 15:04:08,ema_bounce,71.7,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.17097,1.17126,LOSS,-0.02477,2026-03-30 15:04:58,ema_bounce,86,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.77612,1.77667,LOSS,-0.03097,2026-03-30 15:04:58,ema_bounce,63.8,BEAR
